trigger_name,name          ,lii     ,bii     ,trigger_type
bn171207556 ,LOCLPAR1712075, 16.9498,-66.6196,LOCLPAR     
bn171226111 ,LOCLPAR1712261,348.4644, 11.9230,LOCLPAR     
bn091006360 ,GRB091006360  ,345.8389, 14.6241,GRB         
bn151206292 ,LOCLPAR1512062,  8.6910,-23.0029,LOCLPAR     
bn130701761 ,GRB130701761  , 16.0983,-49.0916,GRB         
bn170331916 ,LOCLPAR1703319,359.1881, -2.3684,LOCLPAR     
bn150625810 ,LOCLPAR1506258, 16.4249,-50.1126,LOCLPAR     
bn150921047 ,LOCLPAR1509210,235.6689,-26.4421,LOCLPAR     
bn170712117 ,TGF170712117  ,359.1429, -2.0622,TGF         
bn151218857 ,GRB151218857  ,341.7613,-85.3234,GRB         
bn170711019 ,GRB170711019  ,230.7273,-43.1896,GRB         
bn150824623 ,LOCLPAR1508246, 12.2356,-32.5043,LOCLPAR     
bn151230686 ,UNCERT15123068,241.2610,-12.3432,UNCERT      
bn130818117 ,LOCLPAR1308181,247.0692, -1.2207,LOCLPAR     
bn141209131 ,GRB141209131  ,236.5077,-23.5685,GRB         
bn151205371 ,LOCLPAR1512053,  3.4289, -9.5380,LOCLPAR     
bn170831682 ,LOCLPAR1708316,  9.0461,-22.4196,LOCLPAR     
bn090112332 ,GRB090112332  ,243.5468, -7.0868,GRB         
bn140223495 ,GRB140223495  ,258.6279, 14.1582,GRB         
bn171023097 ,GRB171023097  , 16.7395,-48.5341,GRB         
bn170127634 ,GRB170127634  ,241.9831,-82.9754,GRB         
bn150417914 ,LOCLPAR1504179,232.5668,-34.6524,LOCLPAR     
bn150511362 ,GRB150511362  ,236.5790,-22.6981,GRB         
bn080904886 ,GRB080904886  ,323.9975, 29.0563,GRB         
bn110808375 ,BELOWHZ1108083,320.5343, 30.1675,UNCERT      
bn160903470 ,LOCLPAR1609034,357.9583,  0.7316,LOCLPAR     
bn160625240 ,GRB160625240  ,250.7140,  4.9450,GRB         
bn150426594 ,GRB150426594  ,250.5458,-84.7846,GRB         
bn150318521 ,GRB150318521  ,  0.0730, -2.6332,GRB         
bn151120614 ,UNCERT15112061, 18.9744,-67.8431,UNCERT      
bn171227690 ,LOCLPAR1712276,322.4621, 29.7109,LOCLPAR     
bn091022752 ,UNCERT09102275,352.6799,  8.3861,UNCERT      
bn160811516 ,LOCLPAR1608115,335.4350, 23.8980,LOCLPAR     
bn170105780 ,LOCLPAR1701057,236.0682,-23.2945,LOCLPAR     
bn130504398 ,UNCERT13050439,354.7242,  5.8352,UNCERT      
bn140511095 ,GRB140511095  , 18.0061,-52.2644,GRB         
bn150227702 ,GRB150227702  ,300.2903, 32.8892,GRB         
bn180703949 ,GRB180703949  ,237.9491,-17.8795,GRB         
bn180604900 ,UNCERT18060490,284.9474, 30.5147,UNCERT      
bn161001874 ,LOCLPAR1610018,335.4563, 24.2050,LOCLPAR     
bn160928900 ,LOCLPAR1609289,335.4798, 24.2107,LOCLPAR     
bn130215707 ,TGF130215707  ,236.3192,-21.6770,TGF         
bn111221739 ,GRB111221739  ,344.2347,-86.4489,GRB         
bn170730133 ,GRB170730133  , 17.4266,-47.1982,GRB         
bn120703726 ,GRB120703726  , 19.8843,-60.5239,GRB         
bn140719955 ,TGF140719955  ,256.0190, 12.4148,TGF         
bn150827454 ,LOCLPAR1508274,350.9775, 11.1369,LOCLPAR     
bn170910368 ,GRB170910368  ,307.8922, 32.9771,GRB         
bn160519789 ,LOCLPAR1605197,  2.9358, -6.5704,LOCLPAR     
